tournament id,player id,hole_par,strokes,n_rounds,made_cut,pos,Finish,sg_putt,sg_arg,sg_app,sg_ott,sg_t2g,sg_total
401353228,1614,140,145,2,0,NA,CUT,-1.41,-0.55,0.1,0.45,-0.01,-1.42
401353228,686,140,144,2,0,NA,CUT,0.05,-0.36,-0.1,-0.5,-0.97,-0.92
401353229,9261,284,278,4,1,42,T42,1.43,-1.82,0.28,0.81,-0.74,0.69
401353229,824,142,144,2,0,NA,CUT,-2.19,1.28,0.36,-0.87,0.77,-1.42
401353229,16,142,144,2,0,NA,CUT,1.4,-0.56,-1.35,-0.91,-2.81,-1.42
401353229,9517,142,145,2,0,NA,CUT,-1.48,-0.73,0.71,-0.41,-0.43,-1.92
401353229,4989,284,274,4,1,15,T15,0.52,0.87,-0.16,0.46,1.18,1.69
401353229,6015,284,274,4,1,15,T15,0.49,0.6,-0.02,0.62,1.2,1.69
401353229,10481,284,278,4,1,42,T42,1.38,0.15,-0.36,-0.47,-0.69,0.69
401353229,5502,142,142,2,0,NA,CUT,-0.42,0.09,-0.61,0.53,0.01,-0.42
401353229,10906,284,275,4,1,24,T24,-0.13,0.73,0.02,0.82,1.57,1.44
401353229,10372,142,142,2,0,NA,CUT,-0.21,0.67,-1.41,0.54,-0.2,-0.42
401353229,9484,284,270,4,1,6,T6,0.61,-0.43,1.26,1.26,2.09,2.69
401353229,9127,142,145,2,0,NA,CUT,-0.66,-0.13,-0.29,-0.84,-1.26,-1.92
401353229,10577,284,270,4,1,6,T6,0.11,0.56,1.94,0.08,2.58,2.69
401353229,693,142,143,2,0,NA,CUT,0.03,0.04,-1.34,0.35,-0.94,-0.92
401353229,2283,284,277,4,1,33,T33,-0.7,0.41,0.55,0.67,1.64,0.94
401353229,774,284,280,4,1,59,T59,1.14,1.25,-0.99,-1.21,-0.95,0.19
401353229,9584,284,278,4,1,42,T42,0.47,-0.39,-0.14,0.75,0.22,0.69
401353229,4780,142,143,2,0,NA,CUT,-0.67,0.21,-0.95,0.49,-0.25,-0.92
401353229,4638,142,142,2,0,NA,CUT,0.47,0.82,-0.04,-1.67,-0.89,-0.42
401353229,4415125,284,285,4,1,72,72,-0.42,-0.28,0.25,-0.61,-0.64,-1.06
401353229,3599,284,278,4,1,42,T42,-0.29,0.83,0.89,-0.74,0.98,0.69
401353229,3454,284,282,4,1,64,T64,-0.48,-0.26,0.3,0.14,0.17,-0.31
401353229,712,142,153,2,0,NA,CUT,-1.65,0.05,-4.52,0.2,-4.26,-5.92
401353229,4355673,284,268,4,1,2,T2,1.5,-0.84,1.39,1.15,1.7,3.19
401353229,11098,284,270,4,1,6,T6,1.69,-0.08,-0.38,1.47,1,2.69
401353229,208,284,277,4,1,33,T33,-1.52,0.94,0.22,1.31,2.46,0.94
401353229,3449,142,142,2,0,NA,CUT,-1.56,0.23,0.22,0.7,1.15,-0.42
401353229,5532,284,279,4,1,51,T51,0.01,0.52,0.05,-0.14,0.43,0.44
401353229,6017,284,276,4,1,29,T29,0.4,-0.24,0.42,0.61,0.79,1.19
401353229,769,284,273,4,1,13,T13,0.96,0.64,1.18,-0.83,0.99,1.94
401353229,8975,142,143,2,0,NA,CUT,1.32,-0.09,-2.34,0.19,-2.24,-0.92
401353229,9687,142,142,2,0,NA,CUT,-0.21,0.23,-0.69,0.24,-0.21,-0.42
401353229,4645,284,277,4,1,33,T33,0.07,-0.2,1.55,-0.49,0.87,0.94
401353229,1264,142,144,2,0,NA,CUT,-1.65,0.95,-1.71,0.99,0.23,-1.42
401353229,7004,142,156,2,0,NA,CUT,-1.81,-0.86,-3.16,-1.59,-5.61,-7.42
401353229,11456,284,277,4,1,33,T33,-0.97,-0.35,1.15,1.12,1.92,0.94
401353229,928,142,153,2,0,NA,CUT,-1.98,-0.03,-0.65,-3.26,-3.94,-5.92
401353229,3950,142,151,2,0,NA,CUT,-0.28,-2.56,-2.96,0.89,-4.63,-4.92
401353229,5574,142,144,2,0,NA,CUT,-1.02,1.78,-1.77,-0.41,-0.4,-1.42
401353229,6701,284,270,4,1,6,T6,0.34,-0.59,2.5,0.44,2.35,2.69
401353229,1196,284,284,4,1,67,T67,0.86,0.08,-0.01,-1.74,-1.67,-0.81
401353229,10058,284,269,4,1,5,5,2.35,0.37,-0.57,0.79,0.59,2.94
401353229,431,142,141,2,0,NA,CUT,-1.49,0.63,-0.09,1.03,1.57,0.08
401353229,3455,142,147,2,0,NA,NA,NA,NA,NA,NA,NA,NA
401353229,4423323,142,142,2,0,NA,CUT,0.01,0.65,-0.8,-0.27,-0.42,-0.42
401353229,5882,284,277,4,1,33,T33,0.68,-0.55,0.22,0.58,0.26,0.94
401353229,3375,142,147,2,0,NA,CUT,-0.24,-0.93,-1.7,-0.05,-2.68,-2.92
401353229,74,142,142,2,0,NA,CUT,0.62,0.38,-1.93,0.51,-1.04,-0.42
401353229,301,284,277,4,1,33,NA,NA,NA,NA,NA,NA,NA
